bdew_code,market_function,role_code,company_uid,company_name,company_id,code_row_id
9979180000001,Messstellenbetreiber,MSB,664786,TWL Metering GmbH,50594,55596
9979182000009,Lieferant,LF,664787,Bioenergy-Nord GmbH & Co. KG,50595,55598
9979185000006,Netznutzer ohne All-Inklusiv-Vertrag,NN,664792,Viega GmbH & Co. KG,50600,55601
9979187000004,Bilanzkreisverantwortlicher,BKV,664796,enspired GmbH,50604,55603
9979188000003,Messstellenbetreiber,MSB,662252,Stadtwerke Rostock Aktiengesellschaft,2364,55604
9979189000002,Bilanzkreisverantwortlicher,BKV,664800,Ecotrust Energy GmbH,50608,55605
9979190000009,Einsatzverantwortlicher,EIV,664801,GSH Green Steam Hürth GmbH,50609,55606
9979191000008,Lieferant,LF,664802,Günther Erdgas- und Stromhandels GmbH,50610,55607
9979192000007,Bilanzkreisverantwortlicher,BKV,661606,Nienburg Energie GmbH,1712,55608
9979193000006,Messstellenbetreiber,MSB,661368,Kommunalunternehmen Stadtwerke Pfaffenhofen a. d. Ilm,1473,55609
9979194000005,Lieferant,LF,662464,NGN NETZGESELLSCHAFT NIEDERRHEIN MBH,2576,55610
9979196000003,Messstellenbetreiber,MSB,664812,Tribicon GmbH,50620,55612
9979197000002,Einsatzverantwortlicher,EIV,664816,Sappi Ehingen GmbH,50624,55613
9979198000001,Lieferant,LF,662459,SWE Netz GmbH,2571,55614
9979200000006,Lieferant,LF,664819,Elektrizitätsversorgung Berlin ElVeBe GmbH,50627,55616
9979201000005,Bilanzkreisverantwortlicher,BKV,664802,Günther Erdgas- und Stromhandels GmbH,50610,55617
9979202000004,Messstellenbetreiber,MSB,660976,Freudenberg Service KG,1079,55618
9979203000003,Lieferant,LF,660976,Freudenberg Service KG,1079,55619
9979204000002,Lieferant,LF,662485,SWS Netze Solingen GmbH,2597,56617
9979205000001,Lieferant,LF,662105,Stadtwerke Husum Netz GmbH,2217,56618
9979206000000,Messstellenbetreiber,MSB,664824,energicos GmbH,51629,56619
9979207000009,Lieferant,LF,661365,Kommunale Energienetze Inn-Salzach GmbH & Co. KG,1470,56620
9979208000008,Lieferant,LF,662331,Stadtwerke Völklingen Netz GmbH,2443,56621
9979209000007,Lieferant,LF,662686,Wendelsteinbahn Verteilnetz GmbH,2800,56622
9979210000004,Bilanzkreisverantwortlicher,BKV,662051,Stadtwerke Gifhorn GmbH,2163,56623
9979211000003,Lieferant,LF,661677,Pfalzwerke Netz AG,1785,56625
9979212000002,Einsatzverantwortlicher,EIV,664829,Danpower GmbH,51634,56626
9979214000000,Lieferant,LF,662563,Überlandzentrale Wörth/I.-Altheim Netz Aktiengesellschaft,2677,56628
9979215000009,Lieferant,LF,662179,Stadtwerke Münchberg,2291,56629
9979216000008,Lieferant,LF,663337,Stadtwerke Schwarzenbach a.d. Saale,3470,56630
9979217000007,Lieferant,LF,664832,Stadtwerke Ribnitz-Damgarten GmbH,51637,56631
9979219000005,Bilanzkreisverantwortlicher,BKV,661887,Stadtwerke Achim AG,1997,56633
9979220000002,Lieferant,LF,662415,Strom- und Gasnetz Wismar GmbH,2527,56634
9979229000003,Lieferant,LF,661210,Hellenstein-Energie-Logistik GmbH,1313,56643
9979232000008,Netznutzer ohne All-Inklusiv-Vertrag,NN,668261,Röchling Medical Solutions SE,60042,56646
9979234000006,Lieferant,LF,664394,Stromnetz Pullach GmbH,25413,56648
9979235000005,Bilanzkreisverantwortlicher,BKV,664819,Elektrizitätsversorgung Berlin ElVeBe GmbH,50627,56649
9979237000003,Bilanzkreisverantwortlicher,BKV,664745,Tibber Deutschland GmbH,47579,56651
9979238000002,Bilanzkreisverantwortlicher,BKV,664842,homee GmbH,51647,56652
9979239000001,Lieferant,LF,660612,ENA Energienetze Apolda GmbH,712,56653
9979241000007,Bilanzkreisverantwortlicher,BKV,664843,Enpal Energy GmbH,51648,56655
9979242000006,Lieferant,LF,664843,Enpal Energy GmbH,51648,56656
9979243000005,Lieferant,LF,662350,Stadtwerke Weißenfels Energienetze GmbH,2462,56657
9979244000004,Bilanzkreisverantwortlicher,BKV,664848,Sors Markets Ltd,53642,57633
9979245000003,Lieferant,LF,664852,Kraftwerk Eberswalde GmbH (HoKaWe),53646,57635
9979246000002,Bilanzkreisverantwortlicher,BKV,663330,Stromnetz Kulmbach GmbH & Co. KG,3463,57636
9979247000001,Lieferant,LF,664854,ecoworks energy services GmbH,53648,57637
9979249000009,Lieferant,LF,664443,GIG energy services GmbH,28436,57639
9979250000006,Lieferant,LF,664842,homee GmbH,51647,57640
9979251000005,Lieferant,LF,664857,Brennstoffhandel Schmidt GmbH,53651,57641
9979252000004,Messstellenbetreiber,MSB,664858,TURM Energie GbR,53652,57642
9979254000002,Netznutzer ohne All-Inklusiv-Vertrag,NN,664861,Batteriespeicher Schwerin GmbH & Co. KG,53655,57644
9979255000001,Netznutzer ohne All-Inklusiv-Vertrag,NN,664862,Windpark BF Mittelweser GmbH,53656,57645
9979256000000,Netznutzer ohne All-Inklusiv-Vertrag,NN,664604,VNG Gasspeicher GmbH,38497,57646
9979258000008,Messstellenbetreiber,MSB,664499,Energiedienste der Landeshauptstadt Stuttgart GmbH,31459,57648
9979260000004,Lieferant,LF,664866,Forward Energie GmbH,53660,57650
9979261000003,Lieferant,LF,664868,Mercer Stendal GmbH,53662,57651
9979262000002,Bilanzkreisverantwortlicher,BKV,664869,enplify eG,53663,57652
9979264000000,Lieferant,LF,664769,WUMM GmbH,50577,58648
9979265000009,Messstellenbetreiber,MSB,664769,WUMM GmbH,50577,58649
9979267000007,Einsatzverantwortlicher,EIV,664804,be.storaged GmbH,50612,58651
9979268000006,Bilanzkreisverantwortlicher,BKV,664866,Forward Energie GmbH,53660,58653
9979269000005,Netznutzer ohne All-Inklusiv-Vertrag,NN,664877,Papierfabrik Adolf Jass Schwarza GmbH,54663,58654
9979270000002,Einsatzverantwortlicher,EIV,664852,Kraftwerk Eberswalde GmbH (HoKaWe),53646,58656
9979271000001,Netznutzer ohne All-Inklusiv-Vertrag,NN,664893,Mercer Timber Products GmbH,54679,58658
9979272000000,Lieferant,LF,664894,Dienstleistungsgesellschaft Klinikum Bielefeld mbH,54680,58659
9979273000009,Bilanzkreisverantwortlicher,BKV,661788,RWE Generation SE,1897,58660
9979274000008,Messstellenbetreiber,MSB,664896,imovis GmbH,54682,58661
9979275000007,Einsatzverantwortlicher,EIV,664768,Mercer Rosenthal GmbH,49585,58662
9979276000006,Netznutzer ohne All-Inklusiv-Vertrag,NN,664898,OWP Nordergründe GmbH & Co. KG,55682,59661
9979277000005,Bilanzkreisverantwortlicher,BKV,664899,Second Foundation a.s.,55683,59662
9979278000004,Lieferant,LF,664901,AlzChem Trostberg GmbH,55685,59664
9979279000003,Messstellenbetreiber,MSB,664900,SWTE Netz GmbH & Co. KG,55684,59665
9979280000000,Messstellenbetreiber,MSB,664903,Stromnetz Weilheim GmbH & Co. KG,55687,59667
9979281000009,Lieferant,LF,664445,Stadtwerke Service Meerbusch Willich GmbH & Co. KG,28438,59668
